Product Name,Revenue,ABC_Category,mean,CV,XYZ_Category,Segment
Hirzl Women's Hybrid Golf Glove,5891.06991751,C,4.678571428571429,0.71,Y,CY
TaylorMade 2014 Purelite Stand Bag,5399.700165,C,2.142857142857143,0.31,X,CX
MDGolf Pittsburgh Penguins Putter,5119.3599626000005,C,4.571428571428571,0.65,Y,CY
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,5103.0,C,1.8,0.48,X,CX
Titleist Small Wheeled Travel Cover,4999.80011,C,2.0,0.62,Y,CY
adidas Brazuca 2014 Official Match Ball,4479.720154,C,1.5555555555555556,0.5,Y,CY
Ogio Race Golf Shoes,4419.740143,C,2.0,0.58,Y,CY
GolfBuddy VT3 GPS Watch,4399.780121,C,1.5714285714285714,0.48,X,CX
Cleveland Golf Collegiate My Custom Wedge 588,4199.80011,C,1.3333333333333333,0.37,X,CX
Merrell Men's All Out Flash Trail Running Sho,4069.6299223,C,2.3125,0.44,X,CX
Merrell Women's Siren Mid Waterproof Hiking B,4049.7001649999997,C,1.7647058823529411,0.51,Y,CY
LIJA Women's Button Golf Dress,3888.0,C,2.1176470588235294,0.44,X,CX
Nike Men's Kobe IX Elite Low Basketball Shoe,3799.8101045,C,1.2666666666666666,0.36,X,CX
TaylorMade Women's RBZ SL Rescue,3769.7101595,C,1.8125,0.36,X,CX
Merrell Women's Grassbow Sport Waterproof Hik,3509.7301485,C,2.076923076923077,0.5,Y,CY
Cleveland Golf Women's 588 RTX CB Satin Chrom,3479.7099391,C,1.9333333333333333,0.41,X,CX
Clicgear 8.0 Shoe Brush,3406.589971253,C,4.546666666666667,0.74,Y,CY
Polar Loop Activity Tracker,3078.5999132,C,1.8666666666666667,0.45,X,CX
Nike Men's Fingertrap Max Training Shoe,2999.7599496000003,C,1.7142857142857142,0.7,Y,CY
insta-bed Neverflat Air Mattress,2849.8101045,C,1.4615384615384615,0.45,X,CX
