Product Name,mean,std,weeks,CV,XYZ_Category
Bag Boy Beverage Holder,4.675324675324675,2.876591360225714,77,0.62,Y
Bag Boy M330 Push Cart,5.357142857142857,2.8984649214884253,14,0.54,Y
Bridgestone e6 Straight Distance NFL Carolina,4.890243902439025,3.258440502399638,82,0.67,Y
Bridgestone e6 Straight Distance NFL San Dieg,4.974683544303797,2.82377581165172,79,0.57,Y
Bridgestone e6 Straight Distance NFL Tennesse,4.612903225806452,3.101320917464715,62,0.67,Y
Brooks Women's Ghost 6 Running Shoe,5.352941176470588,2.5724787771376327,17,0.48,X
Cleveland Golf Collegiate My Custom Wedge 588,1.3333333333333333,0.4879500364742666,15,0.37,X
Cleveland Golf Women's 588 RTX CB Satin Chrom,1.9333333333333333,0.7988086367179801,15,0.41,X
Clicgear 8.0 Shoe Brush,4.546666666666667,3.382360176025072,75,0.74,Y
Clicgear Rovic Cooler Bag,4.4868421052631575,3.1727734284171896,76,0.71,Y
Columbia Men's PFG Anchor Tough T-Shirt,5.085365853658536,3.170859678236573,82,0.62,Y
Diamondback Women's Serene Classic Comfort Bi,41.44827586206897,7.976468024482632,145,0.19,X
ENO Atlas Hammock Straps,5.804878048780488,3.5081528479667736,82,0.6,Y
Elevation Training Mask 2.0,6.555555555555555,4.231843183770653,18,0.65,Y
Field & Stream Sportsman 16 Gun Fire Safe,52.47222222222222,8.39492391119464,144,0.16,X
Fitbit The One Wireless Activity & Sleep Trac,5.076923076923077,3.2005608482873344,13,0.63,Y
Garmin Approach S3 Golf GPS Watch,1.875,0.806225774829855,16,0.43,X
Glove It Imperial Golf Towel,5.036144578313253,3.39456446120577,83,0.67,Y
